['1092', '12983', '0.00', '20.00']
['1094', '13033', '0.00', '20.88']
['1098', '12894', '0.00', '21.77']
['1105', '12714', '0.00', '22.65']
['1110', '12564', '0.00', '23.53']
['1115', '12402', '0.00', '24.42']
['1123', '12211', '0.00', '25.30']
['1129', '12079', '0.00', '26.19']
['1133', '12014', '0.00', '27.07']
['1134', '11994', '0.00', '27.95']
['1140', '11804', '0.00', '28.84']
['1150', '11594', '0.00', '29.72']
['1156', '11395', '0.00', '30.60']
['1164', '11222', '0.00', '31.49']
['1170', '11129', '0.00', '32.37']
['1183', '10768', '0.00', '33.25']
['1191', '10584', '0.00', '34.14']
['1200', '10369', '0.00', '35.02']
['1214', '10109', '0.00', '35.91']
['1223', '9836', '0.00', '36.79']
['1234', '9645', '0.00', '37.67']
['1246', '9442', '0.00', '38.56']
['1261', '9189', '0.00', '39.44']
['1273', '8994', '0.00', '40.32']
['1284', '8749', '0.00', '41.21']
['1302', '8464', '0.00', '42.09']
['1317', '8217', '0.00', '42.98']
['1333', '8010', '0.00', '43.86']
['1355', '7695', '0.00', '44.74']
['1367', '7492', '0.00', '45.63']
['1382', '7298', '0.00', '46.51']
['1406', '6996', '0.00', '47.39']
['1423', '6760', '0.00', '48.28']
['1442', '6574', '0.00', '49.16']
['1467', '6261', '0.00', '50.04']
['1487', '6062', '0.00', '50.93']
['1508', '5817', '0.00', '51.81']
['1527', '5653', '0.00', '52.70']
['1560', '5359', '0.00', '53.58']
['1580', '5228', '0.00', '54.46']
['1605', '5026', '0.00', '55.35']
['1640', '4774', '0.00', '56.23']
['1664', '4626', '0.00', '57.11']
['1693', '4462', '0.00', '58.00']
['1733', '4219', '0.00', '58.88']
['1760', '4057', '0.00', '59.76']
['1810', '3720', '0.00', '60.65']
['2481', '3106', '0.00', '61.53']
['3429', '2715', '0.00', '62.42']
['3805', '2523', '0.00', '63.30']
['3862', '2450', '0.00', '64.18']
['3894', '2395', '0.00', '65.07']
['3923', '2347', '0.00', '65.95']
['3967', '2295', '0.00', '66.83']
['4013', '2225', '0.00', '67.72']
['4032', '11703', '0.00', '68.60']
['4069', '11442', '0.00', '69.48']
['4131', '11001', '0.00', '70.37']
['4167', '10760', '0.00', '71.25']
['4209', '10478', '0.00', '72.14']
['4274', '10070', '0.00', '73.02']
['4323', '9784', '0.00', '73.90']
['4375', '9504', '0.00', '74.79']
['4463', '9074', '0.00', '75.67']
['4513', '8865', '0.00', '76.55']
['4574', '8603', '0.00', '77.44']
['4673', '8211', '0.00', '78.32']
['4734', '7981', '0.00', '79.21']
['4790', '8101', '0.00', '80.09']
['4825', '8472', '0.00', '80.97']
['4818', '8653', '0.00', '81.86']
['4798', '8465', '0.00', '82.74']
['4779', '8421', '0.00', '83.62']
['4755', '8509', '0.00', '84.51']
['4743', '8549', '0.00', '85.39']
['4731', '8632', '0.00', '86.27']
['4713', '8708', '0.00', '87.16']
['4702', '8814', '0.00', '88.04']
['4686', '8935', '0.00', '88.93']
['4673', '9102', '0.00', '89.81']
['4665', '9152', '0.00', '90.69']
['4657', '9187', '0.00', '91.58']
['4654', '9202', '0.00', '92.46']
['4651', '9131', '0.00', '93.34']
['4645', '9092', '0.00', '94.23']
['4631', '5023', '0.00', '95.11']
['4613', '2509', '0.00', '95.99']
['4577', '1118', '0.00', '96.88']
['4572', '1102', '0.00', '97.76']
['4568', '1072', '0.00', '98.65']
['4572', '1055', '0.00', '99.53']
['4571', '1028', '0.00', '100.41']
['4603', '995', '0.00', '101.30']
['4599', '1001', '0.00', '102.18']
['4634', '1245', '0.00', '103.06']
['4670', '6369', '0.00', '103.95']
['4677', '8631', '0.00', '104.83']
['4686', '9052', '0.00', '105.71']
['4662', '8204', '0.00', '106.60']
['4615', '7592', '0.00', '107.48']
['4583', '5963', '0.00', '108.37']
['4596', '4752', '0.00', '109.25']
['4685', '5918', '0.00', '110.13']
['4728', '6533', '0.00', '111.02']
['4756', '6899', '0.00', '111.90']
['4780', '6674', '0.00', '112.78']
['4767', '4481', '0.00', '113.67']
['4718', '2827', '0.00', '114.55']
['4416', '1467', '0.00', '115.44']
['4184', '1663', '0.00', '116.32']
['4018', '1857', '0.00', '117.20']
['3830', '1498', '0.00', '118.09']
['3674', '1736', '0.00', '118.97']
['3580', '1993', '0.00', '119.85']
['3423', '2194', '0.00', '120.74']
['3337', '2307', '0.00', '121.62']
['3250', '2474', '0.00', '122.50']
['3107', '2951', '0.00', '123.39']
['3035', '3092', '0.00', '124.27']
['2964', '3215', '0.00', '125.16']
['2864', '3620', '0.00', '126.04']
['2799', '3880', '0.00', '126.92']
['2735', '4139', '0.00', '127.81']
['2669', '4529', '0.00', '128.69']
['2586', '5203', '0.00', '129.57']
['2538', '5730', '0.00', '130.46']
['2494', '5962', '0.00', '131.34']
