['1107', '10044', '0.00', '20.00']
['1112', '9919', '0.00', '21.94']
['1126', '9646', '0.00', '23.89']
['1142', '9389', '0.00', '25.83']
['1157', '9056', '0.00', '27.78']
['1174', '8780', '0.00', '29.72']
['1194', '8494', '0.00', '31.66']
['1211', '8301', '0.00', '33.61']
['1234', '7874', '0.00', '35.55']
['1261', '7420', '0.00', '37.50']
['1291', '7110', '0.00', '39.44']
['1324', '6653', '0.00', '41.38']
['1343', '6763', '0.00', '43.33']
['1300', '5138', '0.00', '45.27']
['1258', '5280', '0.00', '47.22']
['1211', '5658', '0.00', '49.16']
['1172', '6137', '0.00', '51.10']
['1135', '6614', '0.00', '53.05']
['1107', '7065', '0.00', '54.99']
['1077', '7526', '0.00', '56.94']
['1050', '8027', '0.00', '58.88']
['1030', '7813', '0.00', '60.82']
['1011', '3250', '0.00', '62.77']
['994', '6457', '0.00', '64.71']
['979', '6385', '0.00', '66.66']
['969', '6089', '0.00', '68.60']
['961', '5464', '0.00', '70.55']
['952', '5005', '0.00', '72.49']
['925', '3913', '0.00', '74.43']
['883', '5802', '0.00', '76.38']
['891', '11932', '0.00', '78.32']
['882', '12318', '0.00', '80.27']
['873', '12725', '0.00', '82.21']
['867', '13122', '0.00', '84.15']
['861', '13570', '0.00', '86.10']
['864', '5668', '0.00', '88.04']
['876', '7371', '0.00', '89.99']
['893', '8219', '0.00', '91.93']
['878', '8377', '0.00', '93.87']
['873', '10494', '0.00', '95.82']
['865', '6557', '0.00', '97.76']
['848', '6796', '0.00', '99.71']
['841', '6510', '0.00', '101.65']
['834', '6247', '0.00', '103.59']
['836', '9708', '0.00', '105.54']
['863', '13365', '0.00', '107.48']
['870', '12918', '0.00', '109.43']
['877', '12523', '0.00', '111.37']
['885', '12121', '0.00', '113.31']
['894', '12028', '0.00', '115.26']
['907', '10815', '0.00', '117.20']
['919', '10139', '0.00', '119.15']
['931', '9957', '0.00', '121.09']
['946', '10112', '0.00', '123.03']
['961', '9878', '0.00', '124.98']
['981', '9460', '0.00', '126.92']
['1001', '9041', '0.00', '128.87']
['1022', '8605', '0.00', '130.81']
['1049', '8119', '0.00', '132.75']
['1070', '7721', '0.00', '134.70']
['1098', '7197', '0.00', '136.64']
['1130', '6691', '0.00', '138.59']
['1168', '6199', '0.00', '140.53']
['1206', '5733', '0.00', '142.47']
['1251', '5232', '0.00', '144.42']
['1302', '4741', '0.00', '146.36']
['1353', '4273', '0.00', '148.31']
['1441', '3607', '1.99', '150.25']
['1124', '9686', '1.99', '20.00']
['1122', '9710', '1.99', '21.94']
['1134', '9550', '1.99', '23.89']
['1139', '9343', '1.99', '25.83']
['1157', '9048', '1.99', '27.78']
['1173', '8856', '1.99', '29.72']
['1194', '8518', '1.99', '31.66']
['1214', '8212', '1.99', '33.61']
['1234', '7906', '1.99', '35.55']
['1261', '7483', '1.99', '37.50']
['1291', '7084', '1.99', '39.44']
['1327', '6632', '1.99', '41.38']
['1346', '6557', '1.99', '43.33']
['1292', '5082', '1.99', '45.27']
['1241', '5363', '1.99', '47.22']
['1207', '5726', '1.99', '49.16']
['1167', '6192', '1.99', '51.10']
['1133', '6656', '1.99', '53.05']
['1104', '7067', '1.99', '54.99']
['1075', '7530', '1.99', '56.94']
['1046', '8052', '1.99', '58.88']
['1029', '6716', '1.99', '60.82']
['979', '6419', '1.99', '62.77']
['969', '8569', '1.99', '64.71']
['949', '8941', '1.99', '66.66']
['934', '9763', '1.99', '68.60']
['921', '10466', '1.99', '70.55']
['912', '10981', '1.99', '72.49']
['910', '4724', '1.99', '74.43']
['896', '14876', '1.99', '76.38']
['889', '11988', '1.99', '78.32']
['881', '12355', '1.99', '80.27']
['873', '12836', '1.99', '82.21']
['866', '13202', '1.99', '84.15']
['861', '13597', '1.99', '86.10']
['860', '4080', '1.99', '88.04']
['847', '12475', '1.99', '89.99']
['849', '14749', '1.99', '91.93']
['865', '7444', '1.99', '93.87']
['65534', '65535', '1.99', '95.82']
['857', '2271', '1.99', '97.76']
['857', '12685', '1.99', '99.71']
['860', '11622', '1.99', '101.65']
['867', '9388', '1.99', '103.59']
['847', '6647', '1.99', '105.54']
['863', '13473', '1.99', '107.48']
['870', '12888', '1.99', '109.43']
['877', '12548', '1.99', '111.37']
['886', '12122', '1.99', '113.31']
['895', '11805', '1.99', '115.26']
['909', '11314', '1.99', '117.20']
['920', '10996', '1.99', '119.15']
['934', '10523', '1.99', '121.09']
['945', '10259', '1.99', '123.03']
['960', '9888', '1.99', '124.98']
['980', '9477', '1.99', '126.92']
['1000', '9063', '1.99', '128.87']
['1021', '8593', '1.99', '130.81']
['1049', '8098', '1.99', '132.75']
['1077', '7565', '1.99', '134.70']
['1104', '7083', '1.99', '136.64']
['1129', '6677', '1.99', '138.59']
['1167', '6179', '1.99', '140.53']
['1205', '5720', '1.99', '142.47']
['1252', '5220', '1.99', '144.42']
['1300', '4763', '1.99', '146.36']
['1365', '4196', '1.99', '148.31']
['1445', '3631', '3.98', '150.25']
['1124', '9630', '3.98', '20.00']
['1126', '9643', '3.98', '21.94']
['1135', '9394', '3.98', '23.89']
['1138', '9400', '3.98', '25.83']
['1155', '9121', '3.98', '27.78']
['1173', '8854', '3.98', '29.72']
['1194', '8492', '3.98', '31.66']
['1215', '8182', '3.98', '33.61']
['1239', '7822', '3.98', '35.55']
['1266', '7454', '3.98', '37.50']
['1295', '7000', '3.98', '39.44']
['1326', '6718', '3.98', '41.38']
['1347', '6742', '3.98', '43.33']
['1301', '5072', '3.98', '45.27']
['1251', '5313', '3.98', '47.22']
['1205', '5750', '3.98', '49.16']
['1164', '6208', '3.98', '51.10']
['1132', '6645', '3.98', '53.05']
['1108', '7028', '3.98', '54.99']
['1079', '7498', '3.98', '56.94']
['1049', '8010', '3.98', '58.88']
['1030', '7245', '3.98', '60.82']
['984', '5820', '3.98', '62.77']
['977', '5236', '3.98', '64.71']
['956', '5212', '3.98', '66.66']
['936', '5739', '3.98', '68.60']
['923', '6762', '3.98', '70.55']
['907', '8199', '3.98', '72.49']
['914', '5116', '3.98', '74.43']
['899', '16287', '3.98', '76.38']
['889', '11967', '3.98', '78.32']
['881', '12354', '3.98', '80.27']
['873', '12785', '3.98', '82.21']
['867', '13085', '3.98', '84.15']
['863', '13430', '3.98', '86.10']
['863', '3990', '3.98', '88.04']
['840', '13572', '3.98', '89.99']
['840', '15427', '3.98', '91.93']
['852', '4530', '3.98', '93.87']
['830', '3798', '3.98', '95.82']
['847', '2350', '3.98', '97.76']
['837', '11885', '3.98', '99.71']
['838', '10948', '3.98', '101.65']
['852', '12482', '3.98', '103.59']
['848', '5880', '3.98', '105.54']
['863', '13384', '3.98', '107.48']
['870', '12889', '3.98', '109.43']
['878', '12454', '3.98', '111.37']
['886', '12127', '3.98', '113.31']
['895', '11708', '3.98', '115.26']
['906', '11378', '3.98', '117.20']
['919', '11019', '3.98', '119.15']
['934', '10657', '3.98', '121.09']
['947', '10240', '3.98', '123.03']
['965', '9824', '3.98', '124.98']
['984', '9431', '3.98', '126.92']
['997', '9114', '3.98', '128.87']
['1021', '8648', '3.98', '130.81']
['1047', '8147', '3.98', '132.75']
['1074', '7618', '3.98', '134.70']
['1103', '7143', '3.98', '136.64']
['1135', '6645', '3.98', '138.59']
['1173', '6132', '3.98', '140.53']
['1212', '5663', '3.98', '142.47']
['1248', '5272', '3.98', '144.42']
['1300', '4801', '3.98', '146.36']
['1361', '4243', '3.98', '148.31']
['1446', '3604', '5.97', '150.25']
['1125', '9546', '5.97', '20.00']
['1124', '9637', '5.97', '21.94']
['1134', '9542', '5.97', '23.89']
['1141', '9384', '5.97', '25.83']
['1158', '9130', '5.97', '27.78']
['1175', '8791', '5.97', '29.72']
['1191', '8573', '5.97', '31.66']
['1211', '8226', '5.97', '33.61']
['1235', '7908', '5.97', '35.55']
['1265', '7456', '5.97', '37.50']
['1292', '7042', '5.97', '39.44']
['1327', '6761', '5.97', '41.38']
['1348', '6642', '5.97', '43.33']
['1298', '5030', '5.97', '45.27']
['1256', '5234', '5.97', '47.22']
['1212', '5644', '5.97', '49.16']
['1169', '6121', '5.97', '51.10']
['1137', '6576', '5.97', '53.05']
['1107', '7045', '5.97', '54.99']
['1079', '7451', '5.97', '56.94']
['1050', '7999', '5.97', '58.88']
['1034', '7819', '5.97', '60.82']
['990', '4952', '5.97', '62.77']
['981', '5617', '5.97', '64.71']
['962', '5525', '5.97', '66.66']
['947', '5501', '5.97', '68.60']
['932', '5634', '5.97', '70.55']
['908', '8195', '5.97', '72.49']
['917', '6058', '5.97', '74.43']
['896', '17393', '5.97', '76.38']
['891', '11843', '5.97', '78.32']
['884', '12193', '5.97', '80.27']
['875', '12604', '5.97', '82.21']
['869', '13010', '5.97', '84.15']
['864', '13330', '5.97', '86.10']
['868', '2984', '5.97', '88.04']
['841', '12569', '5.97', '89.99']
['844', '14311', '5.97', '91.93']
['845', '13052', '5.97', '93.87']
['842', '14693', '5.97', '95.82']
['843', '13375', '5.97', '97.76']
['842', '10192', '5.97', '99.71']
['844', '9897', '5.97', '101.65']
['854', '10364', '5.97', '103.59']
['849', '5188', '5.97', '105.54']
['865', '13362', '5.97', '107.48']
['872', '12846', '5.97', '109.43']
['879', '12425', '5.97', '111.37']
['888', '12107', '5.97', '113.31']
['897', '11673', '5.97', '115.26']
['910', '11321', '5.97', '117.20']
['921', '10902', '5.97', '119.15']
['932', '10608', '5.97', '121.09']
['947', '10247', '5.97', '123.03']
['964', '9859', '5.97', '124.98']
['982', '9417', '5.97', '126.92']
['1003', '9028', '5.97', '128.87']
['1026', '8538', '5.97', '130.81']
['1052', '8079', '5.97', '132.75']
['1078', '7583', '5.97', '134.70']
['1103', '7177', '5.97', '136.64']
['1134', '6746', '5.97', '138.59']
['1172', '6169', '5.97', '140.53']
['1209', '5701', '5.97', '142.47']
['1255', '5176', '5.97', '144.42']
['1305', '4691', '5.97', '146.36']
['1371', '4158', '5.97', '148.31']
['1448', '3575', '7.97', '150.25']
['1124', '9660', '7.97', '20.00']
['1125', '9620', '7.97', '21.94']
