['2076', '4829', '0.00', '88.00']
['2076', '4833', '0.00', '86.00']
['2074', '4827', '0.00', '84.00']
['2075', '4827', '0.00', '82.00']
['2075', '4827', '0.00', '80.00']
['2074', '4836', '0.00', '78.00']
['2074', '4828', '0.00', '76.00']
['2073', '4831', '0.00', '74.00']
['2074', '4821', '0.00', '72.00']
['2075', '4822', '0.00', '70.00']
['2074', '4819', '0.00', '68.00']
['2075', '4822', '0.00', '66.00']
['2072', '4818', '0.00', '64.00']
['2072', '4815', '0.00', '62.00']
['2074', '4817', '0.00', '60.00']
['2074', '4818', '0.00', '58.00']
['2073', '4812', '0.00', '56.00']
['2072', '4822', '0.00', '54.00']
['2073', '4813', '0.00', '52.00']
['2074', '4814', '0.00', '50.00']
['2073', '4817', '0.00', '48.00']
['2073', '4817', '0.00', '46.00']
['2073', '4813', '0.00', '44.00']
['2074', '4805', '0.00', '42.00']
['2076', '4816', '0.00', '40.00']
['2075', '4816', '0.00', '38.00']
['2074', '4815', '0.00', '36.00']
['2076', '4813', '0.00', '34.00']
['2076', '4807', '0.00', '32.00']
['2074', '4811', '0.00', '30.00']
['2077', '4810', '0.00', '28.00']
['2076', '4807', '0.00', '26.00']
['2075', '4812', '0.00', '24.00']
['2076', '4806', '0.00', '22.00']
['2078', '4813', '0.00', '20.00']
['2078', '4817', '0.00', '18.00']
['2077', '4802', '0.00', '16.00']
['2079', '4816', '2.00', '14.00']
['2076', '4824', '2.00', '16.00']
['2075', '4809', '2.00', '18.00']
['2075', '4811', '2.00', '20.00']
['2078', '4813', '2.00', '22.00']
['2076', '4819', '2.00', '24.00']
['2076', '4812', '2.00', '26.00']
['2075', '4822', '2.00', '28.00']
['2074', '4812', '2.00', '30.00']
['2076', '4806', '2.00', '32.00']
['2076', '4811', '2.00', '34.00']
['2077', '4813', '2.00', '36.00']
['2074', '4816', '2.00', '38.00']
['2077', '4818', '2.00', '40.00']
['2075', '4804', '2.00', '42.00']
['2074', '4805', '2.00', '44.00']
['2073', '4806', '2.00', '46.00']
['2075', '4801', '2.00', '48.00']
['2074', '4802', '2.00', '50.00']
['2076', '4799', '2.00', '52.00']
['2076', '4800', '2.00', '54.00']
['2073', '4802', '2.00', '56.00']
['2074', '4792', '2.00', '58.00']
['2076', '4799', '2.00', '60.00']
['2074', '4785', '2.00', '62.00']
['2075', '4787', '2.00', '64.00']
['2075', '4788', '2.00', '66.00']
['2077', '4789', '2.00', '68.00']
['2075', '4795', '2.00', '70.00']
['2075', '4790', '2.00', '72.00']
['2076', '4794', '2.00', '74.00']
['2077', '4784', '2.00', '76.00']
['2077', '4789', '2.00', '78.00']
['2078', '4799', '2.00', '80.00']
['2076', '4793', '2.00', '82.00']
['2077', '4786', '2.00', '84.00']
['2077', '4791', '2.00', '86.00']
['2076', '4792', '2.00', '88.00']
['2076', '4789', '2.00', '90.00']
['2074', '4797', '2.00', '92.00']
['2074', '4794', '2.00', '94.00']
['2074', '4794', '2.00', '96.00']
['2076', '4797', '2.00', '98.00']
['2076', '4795', '2.00', '100.00']
['2075', '4785', '2.00', '102.00']
['2077', '4794', '2.00', '104.00']
['2076', '4800', '2.00', '106.00']
['2076', '4798', '2.00', '108.00']
['2078', '4797', '2.00', '110.00']
['2077', '4797', '2.00', '112.00']
['2076', '4797', '2.00', '114.00']
['2075', '4792', '2.00', '116.00']
['2076', '4799', '2.00', '118.00']
['2076', '4798', '2.00', '120.00']
['2076', '4798', '2.00', '122.00']
['2077', '4800', '2.00', '124.00']
['2075', '4790', '2.00', '126.00']
['2075', '4793', '2.00', '128.00']
['2076', '4798', '2.00', '130.00']
['2075', '4795', '2.00', '132.00']
['2077', '4795', '2.00', '134.00']
['2075', '4792', '2.00', '136.00']
['2076', '4793', '2.00', '138.00']
['2078', '4791', '2.00', '140.00']
['2076', '4800', '2.00', '142.00']
['2074', '4795', '2.00', '144.00']
['2075', '4791', '2.00', '146.00']
['2074', '4803', '2.00', '148.00']
['2074', '4796', '4.00', '150.00']
['2073', '4798', '4.00', '148.00']
['2076', '4798', '4.00', '146.00']
['2073', '4804', '4.00', '144.00']
['2073', '4800', '4.00', '142.00']
['2076', '4789', '4.00', '140.00']
['2072', '4793', '4.00', '138.00']
['2074', '4789', '4.00', '136.00']
['2075', '4794', '4.00', '134.00']
['2073', '4796', '4.00', '132.00']
['2076', '4796', '4.00', '130.00']
['2076', '4803', '4.00', '128.00']
['2076', '4796', '4.00', '126.00']
['2076', '4804', '4.00', '124.00']
['2075', '4802', '4.00', '122.00']
['2077', '4806', '4.00', '120.00']
['2077', '4799', '4.00', '118.00']
['2077', '4799', '4.00', '116.00']
['2076', '4791', '4.00', '114.00']
['2078', '4804', '4.00', '112.00']
['2078', '4794', '4.00', '110.00']
['2074', '4797', '4.00', '108.00']
['2078', '4797', '4.00', '106.00']
['2078', '4799', '4.00', '104.00']
['2079', '4799', '4.00', '102.00']
['2078', '4801', '4.00', '100.00']
['2078', '4792', '4.00', '98.00']
['2076', '4796', '4.00', '96.00']
['2078', '4798', '4.00', '94.00']
['2079', '4802', '4.00', '92.00']
['2077', '4800', '4.00', '90.00']
['2077', '4800', '4.00', '88.00']
['2077', '4807', '4.00', '86.00']
['2076', '4812', '4.00', '84.00']
['2077', '4810', '4.00', '82.00']
['2078', '4815', '4.00', '80.00']
['2076', '4815', '4.00', '78.00']
['2075', '4803', '4.00', '76.00']
['2077', '4804', '4.00', '74.00']
['2076', '4809', '4.00', '72.00']
['2076', '4807', '4.00', '70.00']
['2076', '4803', '4.00', '68.00']
['2075', '4804', '4.00', '66.00']
['2077', '4804', '4.00', '64.00']
['2074', '4815', '4.00', '62.00']
['2076', '4807', '4.00', '60.00']
['2075', '4805', '4.00', '58.00']
['2075', '4807', '4.00', '56.00']
['2075', '4798', '4.00', '54.00']
['2076', '4811', '4.00', '52.00']
['2076', '4802', '4.00', '50.00']
['2076', '4802', '4.00', '48.00']
['2074', '4803', '4.00', '46.00']
['2075', '4806', '4.00', '44.00']
['2076', '4799', '4.00', '42.00']
['2077', '4805', '4.00', '40.00']
['2073', '4804', '4.00', '38.00']
['2075', '4801', '4.00', '36.00']
['2075', '4802', '4.00', '34.00']
['2075', '4806', '4.00', '32.00']
['2076', '4800', '4.00', '30.00']
['2076', '4802', '4.00', '28.00']
['2076', '4793', '4.00', '26.00']
['2074', '4794', '4.00', '24.00']
['2074', '4800', '4.00', '22.00']
['2076', '4795', '4.00', '20.00']
['2076', '4801', '4.00', '18.00']
['2074', '4794', '4.00', '16.00']
['2076', '4800', '6.00', '14.00']
