['2069', '4956', '1.00', '19.00']
['2070', '4960', '2.00', '20.00']
['2069', '4958', '3.00', '19.00']
['2070', '4958', '4.00', '20.00']
['2069', '4960', '5.00', '19.00']
['2069', '4952', '6.00', '20.00']
['2070', '4960', '7.00', '19.00']
['2069', '4954', '8.00', '20.00']
['2069', '4952', '9.00', '19.00']
['2068', '4955', '10.00', '20.00']
['2070', '4953', '11.00', '19.00']
['2068', '4957', '12.00', '20.00']
['2070', '4958', '13.00', '19.00']
['2069', '4953', '14.00', '20.00']
['2067', '4956', '15.00', '19.00']
['2071', '4957', '16.00', '20.00']
['2070', '4958', '17.00', '19.00']
['2068', '4963', '18.00', '20.00']
['2069', '4960', '19.00', '19.00']
['2071', '4952', '20.00', '20.00']
['2071', '4949', '21.00', '19.00']
['2068', '4952', '22.00', '20.00']
['2067', '4943', '23.00', '19.00']
['2069', '4954', '24.00', '20.00']
['2069', '4957', '25.00', '19.00']
['2068', '4949', '26.00', '20.00']
['2069', '4946', '27.00', '19.00']
['2068', '4943', '28.00', '20.00']
['2070', '4940', '29.00', '19.00']
['2070', '4943', '30.00', '20.00']
['2071', '4946', '31.00', '19.00']
['2070', '4949', '32.00', '20.00']
['2068', '4952', '33.00', '19.00']
['2071', '4946', '34.00', '20.00']
['2072', '4954', '35.00', '19.00']
['2069', '4948', '36.00', '20.00']
['2071', '4946', '37.00', '19.00']
['2072', '4949', '38.00', '20.00']
['2070', '4945', '39.00', '19.00']
['2074', '4949', '40.00', '20.00']
['2070', '4947', '41.00', '19.00']
['2069', '4953', '42.00', '20.00']
['2070', '4946', '43.00', '19.00']
['2071', '4946', '44.00', '20.00']
['2072', '4942', '45.00', '19.00']
['2072', '4951', '46.00', '20.00']
['2069', '4946', '47.00', '19.00']
['2069', '4947', '48.00', '20.00']
['2071', '4946', '49.00', '19.00']
['2069', '4948', '50.00', '20.00']
['2070', '4946', '51.00', '19.00']
['2070', '4951', '52.00', '20.00']
['2067', '4948', '53.00', '19.00']
['2069', '4940', '54.00', '20.00']
['2068', '4943', '55.00', '19.00']
['2071', '4943', '56.00', '20.00']
['2069', '4944', '57.00', '19.00']
['2071', '4942', '58.00', '20.00']
['2072', '4944', '59.00', '19.00']
['2071', '4941', '60.00', '20.00']
['2072', '4944', '61.00', '19.00']
['2069', '4941', '62.00', '20.00']
['2072', '4941', '63.00', '19.00']
['2071', '4936', '64.00', '20.00']
['2072', '4940', '65.00', '19.00']
['2072', '4942', '66.00', '20.00']
['2073', '4943', '67.00', '19.00']
['2074', '4944', '68.00', '20.00']
['2071', '4943', '69.00', '19.00']
['2070', '4941', '70.00', '20.00']
['2073', '4940', '71.00', '19.00']
['2071', '4939', '72.00', '20.00']
['2070', '4934', '73.00', '19.00']
['2072', '4936', '74.00', '20.00']
['2069', '4942', '75.00', '19.00']
['2070', '4939', '76.00', '20.00']
['2071', '4932', '77.00', '19.00']
['2070', '4934', '78.00', '20.00']
['2073', '4929', '79.00', '19.00']
['2072', '4935', '80.00', '20.00']
['2072', '4930', '81.00', '19.00']
['2072', '4935', '82.00', '20.00']
['2072', '4931', '83.00', '19.00']
['2075', '4932', '84.00', '20.00']
['2074', '4939', '85.00', '19.00']
['2073', '4936', '86.00', '20.00']
['2072', '4928', '87.00', '19.00']
['2071', '4940', '88.00', '20.00']
['2072', '4929', '89.00', '19.00']
['2071', '4939', '90.00', '20.00']
['2071', '4937', '91.00', '19.00']
['2071', '4930', '92.00', '20.00']
['2073', '4934', '93.00', '19.00']
['2071', '4930', '94.00', '20.00']
['2073', '4930', '95.00', '19.00']
['2068', '4933', '96.00', '20.00']
['2072', '4930', '97.00', '19.00']
['2073', '4931', '98.00', '20.00']
['2074', '4930', '99.00', '19.00']
['2074', '4932', '100.00', '20.00']
['2073', '4926', '101.00', '19.00']
['2073', '4928', '102.00', '20.00']
['2073', '4929', '103.00', '19.00']
['2074', '4927', '104.00', '20.00']
['2074', '4928', '105.00', '19.00']
['2072', '4935', '106.00', '20.00']
['2074', '4929', '107.00', '19.00']
['2073', '4935', '108.00', '20.00']
['2072', '4925', '109.00', '19.00']
['2071', '4933', '110.00', '20.00']
['2072', '4934', '111.00', '19.00']
['2072', '4933', '112.00', '20.00']
['2074', '4936', '113.00', '19.00']
['2074', '4927', '114.00', '20.00']
['2071', '4931', '115.00', '19.00']
['2070', '4931', '116.00', '20.00']
['2073', '4929', '117.00', '19.00']
['2072', '4930', '118.00', '20.00']
['2073', '4939', '119.00', '19.00']
['2072', '4929', '120.00', '20.00']
['2073', '4929', '121.00', '19.00']
['2071', '4931', '122.00', '20.00']
['2070', '4932', '123.00', '19.00']
['2072', '4935', '124.00', '20.00']
['2072', '4925', '125.00', '19.00']
['2072', '4927', '126.00', '20.00']
['2073', '4930', '127.00', '19.00']
['2071', '4932', '128.00', '20.00']
['2073', '4930', '129.00', '19.00']
['2073', '4928', '130.00', '20.00']
['2073', '4922', '131.00', '19.00']
['2070', '4928', '132.00', '20.00']
['2072', '4924', '133.00', '19.00']
['2070', '4935', '134.00', '20.00']
['2073', '4919', '135.00', '19.00']
['2073', '4924', '136.00', '20.00']
['2073', '4930', '137.00', '19.00']
['2073', '4924', '138.00', '20.00']
['2072', '4916', '139.00', '19.00']
['2072', '4923', '140.00', '20.00']
['2073', '4923', '141.00', '19.00']
['2072', '4924', '142.00', '20.00']
['2073', '4927', '143.00', '19.00']
['2072', '4926', '144.00', '20.00']
['2075', '4926', '145.00', '19.00']
['2073', '4919', '146.00', '20.00']
['2075', '4920', '147.00', '19.00']
['2075', '4920', '148.00', '20.00']
['2073', '4920', '149.00', '19.00']
['2073', '4921', '150.00', '20.00']
['2073', '4919', '151.00', '19.00']
['2074', '4921', '152.00', '20.00']
['2074', '4922', '153.00', '19.00']
['2074', '4926', '154.00', '20.00']
['2074', '4927', '155.00', '19.00']
['2074', '4925', '156.00', '20.00']
['2072', '4923', '157.00', '19.00']
['2073', '4917', '158.00', '20.00']
['2074', '4917', '159.00', '19.00']
['2073', '4924', '160.00', '20.00']
['2074', '4927', '161.00', '19.00']
['2074', '4917', '162.00', '20.00']
['2074', '4908', '163.00', '19.00']
['2073', '4916', '164.00', '20.00']
['2075', '4902', '165.00', '19.00']
['2074', '4901', '166.00', '20.00']
['2075', '4900', '167.00', '19.00']
['2075', '4906', '168.00', '20.00']
['2075', '4900', '169.00', '19.00']
['2073', '4894', '170.00', '20.00']
['2075', '4899', '171.00', '19.00']
['2074', '4892', '172.00', '20.00']
['2073', '4898', '173.00', '19.00']
['2076', '4895', '174.00', '20.00']
['2074', '4899', '175.00', '19.00']
['2074', '4891', '176.00', '20.00']
['2073', '4898', '177.00', '19.00']
['2074', '4898', '178.00', '20.00']
['2074', '4886', '179.00', '19.00']
['2074', '4889', '180.00', '20.00']
['2074', '4894', '181.00', '19.00']
['2073', '4882', '182.00', '20.00']
['2073', '4887', '183.00', '19.00']
['2074', '4889', '184.00', '20.00']
['2071', '4885', '185.00', '19.00']
['2074', '4888', '186.00', '20.00']
['2074', '4887', '187.00', '19.00']
['2074', '4894', '188.00', '20.00']
['2072', '4891', '189.00', '19.00']
['2070', '4897', '190.00', '20.00']
['2075', '4891', '191.00', '19.00']
['2076', '4890', '192.00', '20.00']
['2076', '4896', '193.00', '19.00']
['2074', '4894', '194.00', '20.00']
['2073', '4899', '195.00', '19.00']
['2073', '4903', '196.00', '20.00']
['2071', '4891', '197.00', '19.00']
['2072', '4895', '198.00', '20.00']
['2073', '4889', '199.00', '19.00']
['2071', '4895', '200.00', '20.00']
['2072', '4897', '201.00', '19.00']
['2071', '4893', '202.00', '20.00']
['2076', '4893', '203.00', '19.00']
['2073', '4890', '204.00', '20.00']
['2072', '4887', '205.00', '19.00']
['2071', '4877', '206.00', '20.00']
['2073', '4882', '207.00', '19.00']
['2073', '4886', '208.00', '20.00']
['2072', '4883', '209.00', '19.00']
['2073', '4880', '210.00', '20.00']
['2075', '4886', '211.00', '19.00']
['2076', '4875', '212.00', '20.00']
['2073', '4880', '213.00', '19.00']
['2075', '4875', '214.00', '20.00']
['2073', '4880', '215.00', '19.00']
['2075', '4884', '216.00', '20.00']
['2074', '4883', '217.00', '19.00']
['2074', '4881', '218.00', '20.00']
['2076', '4885', '219.00', '19.00']
['2075', '4880', '220.00', '20.00']
['2075', '4886', '221.00', '19.00']
['2076', '4872', '222.00', '20.00']
['2075', '4885', '223.00', '19.00']
['2073', '4883', '224.00', '20.00']
['2075', '4880', '225.00', '19.00']
['2075', '4886', '226.00', '20.00']
['2074', '4882', '227.00', '19.00']
['2073', '4885', '228.00', '20.00']
['2075', '4883', '229.00', '19.00']
['2074', '4885', '230.00', '20.00']
['2074', '4883', '231.00', '19.00']
['2074', '4883', '232.00', '20.00']
['2074', '4882', '233.00', '19.00']
['2075', '4889', '234.00', '20.00']
['2072', '4881', '235.00', '19.00']
['2074', '4874', '236.00', '20.00']
['2073', '4880', '237.00', '19.00']
['2073', '4879', '238.00', '20.00']
['2072', '4880', '239.00', '19.00']
['2076', '4873', '240.00', '20.00']
['2072', '4874', '241.00', '19.00']
['2072', '4874', '242.00', '20.00']
['2075', '4875', '243.00', '19.00']
['2074', '4870', '244.00', '20.00']
['2074', '4875', '245.00', '19.00']
['2073', '4873', '246.00', '20.00']
['2072', '4869', '247.00', '19.00']
['2075', '4871', '248.00', '20.00']
['2075', '4864', '249.00', '19.00']
['2073', '4876', '250.00', '20.00']
['2075', '4866', '251.00', '19.00']
['2075', '4870', '252.00', '20.00']
['2076', '4869', '253.00', '19.00']
['2072', '4868', '254.00', '20.00']
['2075', '4872', '255.00', '19.00']
['2075', '4869', '256.00', '20.00']
['2075', '4870', '257.00', '19.00']
['2074', '4868', '258.00', '20.00']
['2076', '4869', '259.00', '19.00']
['2074', '4866', '260.00', '20.00']
['2075', '4867', '261.00', '19.00']
['2071', '4867', '262.00', '20.00']
['2072', '4863', '263.00', '19.00']
['2075', '4862', '264.00', '20.00']
['2075', '4864', '265.00', '19.00']
['2073', '4866', '266.00', '20.00']
['2073', '4859', '267.00', '19.00']
['2074', '4861', '268.00', '20.00']
['2073', '4860', '269.00', '19.00']
['2075', '4856', '270.00', '20.00']
['2073', '4853', '271.00', '19.00']
['2073', '4847', '272.00', '20.00']
['2072', '4862', '273.00', '19.00']
['2076', '4852', '274.00', '20.00']
['2074', '4857', '275.00', '19.00']
['2072', '4852', '276.00', '20.00']
['2077', '4848', '277.00', '19.00']
['2077', '4856', '278.00', '20.00']
['2073', '4857', '279.00', '19.00']
['2075', '4852', '280.00', '20.00']
['2073', '4856', '281.00', '19.00']
['2074', '4852', '282.00', '20.00']
['2073', '4856', '283.00', '19.00']
['2074', '4856', '284.00', '20.00']
['2075', '4856', '285.00', '19.00']
['2071', '4856', '286.00', '20.00']
['2075', '4855', '287.00', '19.00']
['2075', '4857', '288.00', '20.00']
['2074', '4853', '289.00', '19.00']
['2075', '4848', '290.00', '20.00']
['2075', '4847', '291.00', '19.00']
['2073', '4849', '292.00', '20.00']
['2076', '4838', '293.00', '19.00']
['2071', '4844', '294.00', '20.00']
['2073', '4838', '295.00', '19.00']
['2073', '4836', '296.00', '20.00']
['2076', '4839', '297.00', '19.00']
['2074', '4842', '298.00', '20.00']
['2073', '4834', '299.00', '19.00']
['2074', '4839', '300.00', '20.00']
['2074', '4839', '301.00', '19.00']
['2074', '4839', '302.00', '20.00']
['2074', '4842', '303.00', '19.00']
['2076', '4838', '304.00', '20.00']
['2073', '4835', '305.00', '19.00']
['2077', '4836', '306.00', '20.00']
['2076', '4839', '307.00', '19.00']
['2077', '4836', '308.00', '20.00']
['2073', '4840', '309.00', '19.00']
['2074', '4833', '310.00', '20.00']
['2078', '4840', '311.00', '19.00']
['2073', '4837', '312.00', '20.00']
['2072', '4839', '313.00', '19.00']
['2073', '4844', '314.00', '20.00']
['2075', '4833', '315.00', '19.00']
['2074', '4841', '316.00', '20.00']
['2073', '4841', '317.00', '19.00']
['2074', '4840', '318.00', '20.00']
['2074', '4840', '319.00', '19.00']
['2075', '4837', '320.00', '20.00']
['2071', '4837', '321.00', '19.00']
['2075', '4829', '322.00', '20.00']
['2073', '4843', '323.00', '19.00']
