['1096', '12169', '0.00', '20.00']
['1099', '12183', '0.00', '21.94']
['1111', '11889', '0.00', '23.89']
['1125', '11502', '0.00', '25.83']
['1141', '11089', '0.00', '27.78']
['1157', '10692', '0.00', '29.72']
['1177', '10287', '0.00', '31.66']
['1197', '9852', '0.00', '33.61']
['1219', '9436', '0.00', '35.55']
['1240', '9007', '0.00', '37.50']
['1267', '8508', '0.00', '39.44']
['1299', '8054', '0.00', '41.38']
['1333', '7547', '0.00', '43.33']
['1366', '7085', '0.00', '45.27']
['1408', '6580', '0.00', '47.22']
['1452', '6153', '0.00', '49.16']
['1493', '5842', '0.00', '51.10']
['1538', '5898', '0.00', '53.05']
['1525', '4339', '0.00', '54.99']
['1494', '4187', '0.00', '56.94']
['1485', '4279', '0.00', '58.88']
['1424', '4800', '0.00', '60.82']
['1377', '5104', '0.00', '62.77']
['1349', '5491', '0.00', '64.71']
['1317', '5979', '0.00', '66.66']
['1285', '6525', '0.00', '68.60']
['1258', '7026', '0.00', '70.55']
['1239', '7516', '0.00', '72.49']
['1218', '7827', '0.00', '74.43']
['1201', '8314', '0.00', '76.38']
['1187', '8700', '0.00', '78.32']
['1177', '9014', '0.00', '80.27']
['1163', '9538', '0.00', '82.21']
['1155', '9850', '0.00', '84.15']
['1147', '10317', '0.00', '86.10']
['1139', '10936', '0.00', '88.04']
['1133', '11553', '0.00', '89.99']
['1131', '12194', '0.00', '91.93']
['1129', '12725', '0.00', '93.87']
['1128', '12993', '0.00', '95.82']
['1129', '12754', '0.00', '97.76']
['1129', '12352', '0.00', '99.71']
['1133', '11859', '0.00', '101.65']
['1136', '11332', '0.00', '103.59']
['1141', '10921', '0.00', '105.54']
['1148', '10525', '0.00', '107.48']
['1155', '10245', '0.00', '109.43']
['1165', '9905', '0.00', '111.37']
['1177', '9620', '0.00', '113.31']
['1189', '9316', '0.00', '115.26']
['1204', '8970', '0.00', '117.20']
['1223', '8668', '0.00', '119.15']
['1242', '8305', '0.00', '121.09']
['1258', '8052', '0.00', '123.03']
['1280', '7691', '0.00', '124.98']
['1306', '7309', '0.00', '126.92']
['1333', '6942', '0.00', '128.87']
['1364', '6535', '0.00', '130.81']
['1399', '6127', '0.00', '132.75']
['1437', '5717', '0.00', '134.70']
['1473', '5353', '0.00', '136.64']
['1515', '4978', '0.00', '138.59']
['1567', '4567', '0.00', '140.53']
['1619', '4180', '0.00', '142.47']
['1686', '3795', '0.00', '144.42']
['1740', '3828', '0.00', '146.36']
['1757', '2437', '0.00', '148.31']
['1730', '3201', '1.99', '148.31']
['1774', '4998', '1.99', '146.36']
['1733', '8570', '1.99', '144.42']
['1672', '8388', '1.99', '142.47']
['1608', '9349', '1.99', '140.53']
['1568', '9952', '1.99', '138.59']
['1515', '10835', '1.99', '136.64']
['1472', '11706', '1.99', '134.70']
['1432', '12708', '1.99', '132.75']
['1396', '13591', '1.99', '130.81']
['1360', '14551', '1.99', '128.87']
['1331', '15350', '1.99', '126.92']
['1304', '16225', '1.99', '124.98']
['1283', '16898', '1.99', '123.03']
['1261', '17614', '1.99', '121.09']
['1241', '18349', '1.99', '119.15']
['1224', '19074', '1.99', '117.20']
['1206', '19742', '1.99', '115.26']
['1189', '9417', '1.99', '113.31']
['1177', '9710', '1.99', '111.37']
['1163', '10013', '1.99', '109.43']
['1157', '10274', '1.99', '107.48']
['1148', '10612', '1.99', '105.54']
['1142', '10994', '1.99', '103.59']
['1137', '11446', '1.99', '101.65']
['1132', '12056', '1.99', '99.71']
['1130', '12507', '1.99', '97.76']
['1128', '12839', '1.99', '95.82']
['1127', '12908', '1.99', '93.87']
['1127', '12874', '1.99', '91.93']
['1128', '12741', '1.99', '89.99']
['1129', '12348', '1.99', '88.04']
['1133', '11793', '1.99', '86.10']
['1137', '11333', '1.99', '84.15']
['1142', '10885', '1.99', '82.21']
['1150', '10496', '1.99', '80.27']
['1159', '10209', '1.99', '78.32']
['1165', '9980', '1.99', '76.38']
['1177', '9683', '1.99', '74.43']
['1188', '9388', '1.99', '72.49']
['1204', '9050', '1.99', '70.55']
['1219', '8676', '1.99', '68.60']
['1236', '8339', '1.99', '66.66']
['1256', '7964', '1.99', '64.71']
['1273', '7686', '1.99', '62.77']
['1296', '7371', '1.99', '60.82']
['1321', '7022', '1.99', '58.88']
['1351', '6604', '1.99', '56.94']
['1383', '6248', '1.99', '54.99']
['1420', '5912', '1.99', '53.05']
['1463', '5549', '1.99', '51.10']
['1511', '5743', '1.99', '49.16']
['1530', '6797', '1.99', '47.22']
['1484', '5932', '1.99', '45.27']
['1433', '6283', '1.99', '43.33']
['1390', '6796', '1.99', '41.38']
['1349', '7369', '1.99', '39.44']
['1310', '7929', '1.99', '37.50']
['1276', '8381', '1.99', '35.55']
['1251', '8793', '1.99', '33.61']
['1225', '9248', '1.99', '31.66']
['1202', '9751', '1.99', '29.72']
['1179', '10256', '1.99', '27.78']
['1160', '10653', '1.99', '25.83']
['1142', '11106', '1.99', '23.89']
['1125', '11460', '1.99', '21.94']
['1113', '11789', '3.98', '21.94']
['1124', '11500', '3.98', '23.89']
['1132', '11306', '3.98', '25.83']
['1143', '11088', '3.98', '27.78']
['1158', '10673', '3.98', '29.72']
