['1100', '12377', '0.00', '20.00']
['1101', '12307', '0.00', '20.88']
['1104', '12224', '0.00', '21.77']
['1112', '12072', '0.00', '22.65']
['1117', '11934', '0.00', '23.53']
['1122', '11750', '0.00', '24.42']
['1132', '11574', '0.00', '25.30']
['1136', '11452', '0.00', '26.19']
['1143', '11307', '0.00', '27.07']
['1153', '11116', '0.00', '27.95']
['1157', '10970', '0.00', '28.84']
['1162', '10770', '0.00', '29.72']
['1174', '10564', '0.00', '30.60']
['1181', '10404', '0.00', '31.49']
['1189', '10217', '0.00', '32.37']
['1201', '9955', '0.00', '33.25']
['1208', '9815', '0.00', '34.14']
['1217', '9667', '0.00', '35.02']
['1230', '9420', '0.00', '35.91']
['1239', '9243', '0.00', '36.79']
['1248', '9063', '0.00', '37.67']
['1258', '8864', '0.00', '38.56']
['1272', '8632', '0.00', '39.44']
['1284', '8467', '0.00', '40.32']
['1297', '8228', '0.00', '41.21']
['1316', '7990', '0.00', '42.09']
['1328', '7781', '0.00', '42.98']
['1346', '7539', '0.00', '43.86']
['1365', '7257', '0.00', '44.74']
['1378', '7085', '0.00', '45.63']
['1394', '6858', '0.00', '46.51']
['1420', '6610', '0.00', '47.39']
['1434', '6443', '0.00', '48.28']
['1451', '6306', '0.00', '49.16']
['1483', '6129', '0.00', '50.04']
['1502', '6094', '0.00', '50.93']
['1523', '6587', '0.00', '51.81']
['1532', '6840', '0.00', '52.70']
['1528', '6390', '0.00', '53.58']
['1512', '5855', '0.00', '54.46']
['1482', '5619', '0.00', '55.35']
['1469', '5690', '0.00', '56.23']
['1454', '5773', '0.00', '57.11']
['1440', '5907', '0.00', '58.00']
['1415', '6124', '0.00', '58.88']
['1401', '6273', '0.00', '59.76']
['1387', '6412', '0.00', '60.65']
['1369', '6590', '0.00', '61.53']
['1355', '6693', '0.00', '62.42']
['1343', '6855', '0.00', '63.30']
['1328', '7092', '0.00', '64.18']
['1319', '7214', '0.00', '65.07']
['1311', '7348', '0.00', '65.95']
['1294', '7579', '0.00', '66.83']
['1287', '7751', '0.00', '67.72']
['1277', '7930', '0.00', '68.60']
['1264', '8126', '0.00', '69.48']
['1257', '8219', '0.00', '70.37']
['1250', '8296', '0.00', '71.25']
['1238', '8567', '0.00', '72.14']
['1230', '8697', '0.00', '73.02']
['1223', '8853', '0.00', '73.90']
['1213', '9054', '0.00', '74.79']
['1207', '9186', '0.00', '75.67']
['1202', '9299', '0.00', '76.55']
['1196', '9512', '0.00', '77.44']
['1188', '9617', '0.00', '78.32']
['1184', '9733', '0.00', '79.21']
['1179', '9831', '0.00', '80.09']
['1172', '10041', '0.00', '80.97']
['1168', '10146', '0.00', '81.86']
['1164', '10271', '0.00', '82.74']
['1160', '10416', '0.00', '83.62']
['1156', '10509', '0.00', '84.51']
['1151', '10641', '0.00', '85.39']
['1147', '10870', '0.00', '86.27']
['1146', '11045', '0.00', '87.16']
['1144', '11174', '0.00', '88.04']
['1141', '11415', '0.00', '88.93']
['1140', '11571', '0.00', '89.81']
['1138', '11823', '0.00', '90.69']
['1137', '12065', '0.00', '91.58']
['1136', '12232', '0.00', '92.46']
['1135', '12435', '0.00', '93.34']
['1134', '12502', '0.00', '94.23']
['1133', '12529', '0.00', '95.11']
['1134', '12518', '0.00', '95.99']
['1133', '12540', '0.00', '96.88']
['1134', '12467', '0.00', '97.76']
['1134', '12410', '0.00', '98.65']
['1135', '12167', '0.00', '99.53']
['1138', '11964', '0.00', '100.41']
['1138', '11796', '0.00', '101.30']
['1140', '11551', '0.00', '102.18']
['1142', '11348', '0.00', '103.06']
['1143', '11203', '0.00', '103.95']
['1146', '10929', '0.00', '104.83']
['1149', '10845', '0.00', '105.71']
['1152', '10728', '0.00', '106.60']
['1155', '10541', '0.00', '107.48']
['1161', '10391', '0.00', '108.37']
['1162', '10296', '0.00', '109.25']
['1169', '10092', '0.00', '110.13']
['1172', '9964', '0.00', '111.02']
['1177', '9889', '0.00', '111.90']
['1181', '9716', '0.00', '112.78']
['1187', '9592', '0.00', '113.67']
['1192', '9478', '0.00', '114.55']
['1200', '9289', '0.00', '115.44']
['1205', '9150', '0.00', '116.32']
['1213', '9015', '0.00', '117.20']
['1224', '8839', '0.00', '118.09']
['1230', '8707', '0.00', '118.97']
['1237', '8566', '0.00', '119.85']
['1247', '8360', '0.00', '120.74']
['1255', '8250', '0.00', '121.62']
['1263', '8140', '0.00', '122.50']
['1276', '7934', '0.00', '123.39']
['1282', '7808', '0.00', '124.27']
['1292', '7631', '0.00', '125.16']
['1305', '7528', '0.00', '126.04']
['1318', '7288', '0.00', '126.92']
['1328', '7118', '0.00', '127.81']
['1341', '6987', '0.00', '128.69']
['1356', '6775', '0.00', '129.57']
['1370', '6611', '0.00', '130.46']
['1383', '6451', '0.00', '131.34']
['1405', '6207', '0.00', '132.22']
['1416', '6066', '0.00', '133.11']
['1431', '5912', '0.00', '133.99']
['1457', '5660', '0.00', '134.88']
['1471', '5490', '0.00', '135.76']
['1486', '5365', '0.00', '136.64']
['1510', '5101', '0.00', '137.53']
['1530', '4936', '0.00', '138.41']
['1551', '4732', '0.00', '139.29']
['1581', '4529', '0.00', '140.18']
['1597', '4397', '0.00', '141.06']
['1619', '4234', '0.00', '141.94']
['1653', '4001', '0.00', '142.83']
['1681', '3860', '0.00', '143.71']
['1708', '4216', '0.00', '144.60']
['1733', '4006', '0.00', '145.48']
['1753', '3681', '0.00', '146.36']
['1772', '2757', '0.00', '147.25']
['1765', '3795', '0.00', '148.13']
['1745', '3305', '0.00', '149.01']
['1728', '3212', '0.00', '149.90']
['1692', '3355', '1.00', '150.78']
['1122', '11811', '1.00', '20.00']
['1117', '11892', '1.00', '20.88']
['1122', '11792', '1.00', '21.77']
['1128', '11663', '1.00', '22.65']
['1132', '11520', '1.00', '23.53']
['1139', '11329', '1.00', '24.42']
['1144', '11280', '1.00', '25.30']
['1146', '11131', '1.00', '26.19']
['1150', '11082', '1.00', '27.07']
['1154', '10996', '1.00', '27.95']
['1161', '10799', '1.00', '28.84']
['1170', '10587', '1.00', '29.72']
['1176', '10476', '1.00', '30.60']
['1186', '10286', '1.00', '31.49']
['1196', '10010', '1.00', '32.37']
['1206', '9819', '1.00', '33.25']
['1214', '9679', '1.00', '34.14']
['1227', '9401', '1.00', '35.02']
['1236', '9248', '1.00', '35.91']
['1248', '9039', '1.00', '36.79']
['1262', '8809', '1.00', '37.67']
['1273', '8624', '1.00', '38.56']
['1283', '8472', '1.00', '39.44']
['1297', '8256', '1.00', '40.32']
['1313', '8012', '1.00', '41.21']
['1326', '7806', '1.00', '42.09']
['1337', '7641', '1.00', '42.98']
['1357', '7358', '1.00', '43.86']
['1371', '7171', '1.00', '44.74']
['1387', '6999', '1.00', '45.63']
['1410', '6704', '1.00', '46.51']
['1426', '6521', '1.00', '47.39']
['1445', '6365', '1.00', '48.28']
['1471', '6182', '1.00', '49.16']
['1490', '6075', '1.00', '50.04']
['1510', '6110', '1.00', '50.93']
['1535', '6915', '1.00', '51.81']
['1532', '6696', '1.00', '52.70']
['1523', '6171', '1.00', '53.58']
['1495', '5611', '1.00', '54.46']
['1479', '5605', '1.00', '55.35']
['1465', '5702', '1.00', '56.23']
['1442', '5873', '1.00', '57.11']
['1428', '6003', '1.00', '58.00']
['1412', '6176', '1.00', '58.88']
['1396', '6334', '1.00', '59.76']
['1378', '6485', '1.00', '60.65']
['1370', '6607', '1.00', '61.53']
['1356', '6731', '1.00', '62.42']
['1338', '6944', '1.00', '63.30']
['1329', '7112', '1.00', '64.18']
['1319', '7225', '1.00', '65.07']
['1304', '7405', '1.00', '65.95']
