['1719', '0', '0.00', '20.00']
['1077', '0', '0.00', '21.94']
['1074', '0', '0.00', '23.89']
['1074', '0', '0.00', '25.83']
['1074', '0', '0.00', '27.78']
['1079', '0', '0.00', '29.72']
['1080', '0', '0.00', '31.66']
['1084', '0', '0.00', '33.61']
['1094', '0', '0.00', '35.55']
['3571', '0', '0.00', '37.50']
['1546', '0', '0.00', '39.44']
['1537', '0', '0.00', '41.38']
['1533', '0', '0.00', '43.33']
['1532', '0', '0.00', '45.27']
['1528', '0', '0.00', '47.22']
['1528', '0', '0.00', '49.16']
['1528', '0', '0.00', '51.10']
['1533', '0', '0.00', '53.05']
['1533', '0', '0.00', '54.99']
['1537', '0', '0.00', '56.94']
['1537', '0', '0.00', '58.88']
['1119', '0', '0.00', '60.82']
['1119', '0', '0.00', '62.77']
['1118', '0', '0.00', '64.71']
['1114', '0', '0.00', '66.66']
['1113', '0', '0.00', '68.60']
['1113', '0', '0.00', '70.55']
['1112', '0', '0.00', '72.49']
['1112', '0', '0.00', '74.43']
['1111', '0', '0.00', '76.38']
['1106', '0', '0.00', '78.32']
['1106', '0', '0.00', '80.27']
['1101', '0', '0.00', '82.21']
['1097', '0', '0.00', '84.15']
['1096', '0', '0.00', '86.10']
['1096', '0', '0.00', '88.04']
['1092', '0', '0.00', '89.99']
['1092', '0', '0.00', '91.93']
['1091', '0', '0.00', '93.87']
['1091', '0', '0.00', '95.82']
['1092', '0', '0.00', '97.76']
['1096', '0', '0.00', '99.71']
['1096', '0', '0.00', '101.65']
['1096', '0', '0.00', '103.59']
['1097', '0', '0.00', '105.54']
['1101', '0', '0.00', '107.48']
['1106', '0', '0.00', '109.43']
['1111', '0', '0.00', '111.37']
['1112', '0', '0.00', '113.31']
['1112', '0', '0.00', '115.26']
['1113', '0', '0.00', '117.20']
['1113', '0', '0.00', '119.15']
['1114', '0', '0.00', '121.09']
['1114', '0', '0.00', '123.03']
['1119', '0', '0.00', '124.98']
['1124', '0', '0.00', '126.92']
['1129', '0', '0.00', '128.87']
['1721', '0', '0.00', '130.81']
['1720', '0', '0.00', '132.75']
['1720', '0', '0.00', '134.70']
['1720', '0', '0.00', '136.64']
['1719', '0', '0.00', '138.59']
['1719', '0', '0.00', '140.53']
['1719', '0', '0.00', '142.47']
['250', '0', '0.00', '144.42']
['250', '0', '0.00', '146.36']
['1719', '0', '0.00', '148.31']
['1719', '0', '1.99', '150.25']
['1719', '0', '1.99', '20.00']
['1077', '0', '1.99', '21.94']
['1078', '0', '1.99', '23.89']
['1074', '0', '1.99', '25.83']
['1074', '0', '1.99', '27.78']
['1079', '0', '1.99', '29.72']
['1084', '0', '1.99', '31.66']
['1085', '0', '1.99', '33.61']
['1094', '0', '1.99', '35.55']
['3579', '0', '1.99', '37.50']
['1546', '0', '1.99', '39.44']
['1537', '0', '1.99', '41.38']
['1537', '0', '1.99', '43.33']
['1532', '0', '1.99', '45.27']
['1528', '0', '1.99', '47.22']
['1528', '0', '1.99', '49.16']
['1528', '0', '1.99', '51.10']
['1532', '0', '1.99', '53.05']
['1533', '0', '1.99', '54.99']
['1537', '0', '1.99', '56.94']
['1537', '0', '1.99', '58.88']
['1124', '0', '1.99', '60.82']
['1119', '0', '1.99', '62.77']
['1118', '0', '1.99', '64.71']
['1114', '0', '1.99', '66.66']
['1113', '0', '1.99', '68.60']
['1113', '0', '1.99', '70.55']
['1112', '0', '1.99', '72.49']
['1112', '0', '1.99', '74.43']
['1111', '0', '1.99', '76.38']
['1111', '0', '1.99', '78.32']
['1106', '0', '1.99', '80.27']
['1101', '0', '1.99', '82.21']
['1101', '0', '1.99', '84.15']
['1096', '0', '1.99', '86.10']
['1096', '0', '1.99', '88.04']
['1096', '0', '1.99', '89.99']
['1096', '0', '1.99', '91.93']
['1096', '0', '1.99', '93.87']
['1096', '0', '1.99', '95.82']
['1096', '0', '1.99', '97.76']
['1096', '0', '1.99', '99.71']
['1096', '0', '1.99', '101.65']
['1096', '0', '1.99', '103.59']
['1101', '0', '1.99', '105.54']
['1106', '0', '1.99', '107.48']
['1107', '0', '1.99', '109.43']
['1111', '0', '1.99', '111.37']
['1112', '0', '1.99', '113.31']
['1112', '0', '1.99', '115.26']
['1113', '0', '1.99', '117.20']
['1113', '0', '1.99', '119.15']
['1114', '0', '1.99', '121.09']
['1114', '0', '1.99', '123.03']
['1119', '0', '1.99', '124.98']
['1124', '0', '1.99', '126.92']
['1133', '0', '1.99', '128.87']
['1721', '0', '1.99', '130.81']
['1721', '0', '1.99', '132.75']
['1720', '0', '1.99', '134.70']
['1720', '0', '1.99', '136.64']
['1720', '0', '1.99', '138.59']
['1720', '0', '1.99', '140.53']
['1719', '0', '1.99', '142.47']
['1719', '0', '1.99', '144.42']
['250', '0', '1.99', '146.36']
['1719', '0', '1.99', '148.31']
['1719', '0', '3.98', '150.25']
['1719', '0', '3.98', '20.00']
['1078', '0', '3.98', '21.94']
['1078', '0', '3.98', '23.89']
['1078', '0', '3.98', '25.83']
['1079', '0', '3.98', '27.78']
['1080', '0', '3.98', '29.72']
['1080', '0', '3.98', '31.66']
['1085', '0', '3.98', '33.61']
['1094', '0', '3.98', '35.55']
['1116', '0', '3.98', '37.50']
['1546', '0', '3.98', '39.44']
['1542', '0', '3.98', '41.38']
['1537', '0', '3.98', '43.33']
['1533', '0', '3.98', '45.27']
['1533', '0', '3.98', '47.22']
['1533', '0', '3.98', '49.16']
['1533', '0', '3.98', '51.10']
['1533', '0', '3.98', '53.05']
['1537', '0', '3.98', '54.99']
['1537', '0', '3.98', '56.94']
['1542', '0', '3.98', '58.88']
['1124', '0', '3.98', '60.82']
['1124', '0', '3.98', '62.77']
['1119', '0', '3.98', '64.71']
['1114', '0', '3.98', '66.66']
['1113', '0', '3.98', '68.60']
['1113', '0', '3.98', '70.55']
['1113', '0', '3.98', '72.49']
['1112', '0', '3.98', '74.43']
['1112', '0', '3.98', '76.38']
['1111', '0', '3.98', '78.32']
['1106', '0', '3.98', '80.27']
['1106', '0', '3.98', '82.21']
['1101', '0', '3.98', '84.15']
['1101', '0', '3.98', '86.10']
['1096', '0', '3.98', '88.04']
['1096', '0', '3.98', '89.99']
['1096', '0', '3.98', '91.93']
['1096', '0', '3.98', '93.87']
['1096', '0', '3.98', '95.82']
['1096', '0', '3.98', '97.76']
['1096', '0', '3.98', '99.71']
['1097', '0', '3.98', '101.65']
['1101', '0', '3.98', '103.59']
['1101', '0', '3.98', '105.54']
['1106', '0', '3.98', '107.48']
['1111', '0', '3.98', '109.43']
['1112', '0', '3.98', '111.37']
['1116', '0', '3.98', '113.31']
['1113', '0', '3.98', '115.26']
['1113', '0', '3.98', '117.20']
['1114', '0', '3.98', '119.15']
['1114', '0', '3.98', '121.09']
['1119', '0', '3.98', '123.03']
['1119', '0', '3.98', '124.98']
['1124', '0', '3.98', '126.92']
['1138', '0', '3.98', '128.87']
['1721', '0', '3.98', '130.81']
['1721', '0', '3.98', '132.75']
['1720', '0', '3.98', '134.70']
['1720', '0', '3.98', '136.64']
['1720', '0', '3.98', '138.59']
['1720', '0', '3.98', '140.53']
['1719', '0', '3.98', '142.47']
['1719', '0', '3.98', '144.42']
['250', '0', '3.98', '146.36']
['1719', '0', '3.98', '148.31']
['1719', '0', '5.97', '150.25']
['1720', '0', '5.97', '20.00']
['1078', '0', '5.97', '21.94']
['1078', '0', '5.97', '23.89']
['1074', '0', '5.97', '25.83']
['1074', '0', '5.97', '27.78']
['1080', '0', '5.97', '29.72']
['1080', '0', '5.97', '31.66']
['1085', '0', '5.97', '33.61']
['1094', '0', '5.97', '35.55']
['1546', '0', '5.97', '37.50']
['1546', '0', '5.97', '39.44']
['1542', '0', '5.97', '41.38']
['1537', '0', '5.97', '43.33']
['1533', '0', '5.97', '45.27']
['1533', '0', '5.97', '47.22']
['1533', '0', '5.97', '49.16']
['1533', '0', '5.97', '51.10']
['1537', '0', '5.97', '53.05']
['1537', '0', '5.97', '54.99']
['1542', '0', '5.97', '56.94']
['1547', '0', '5.97', '58.88']
['1128', '0', '5.97', '60.82']
['1124', '0', '5.97', '62.77']
['1123', '0', '5.97', '64.71']
['1114', '0', '5.97', '66.66']
['1113', '0', '5.97', '68.60']
['1113', '0', '5.97', '70.55']
['1113', '0', '5.97', '72.49']
['1112', '0', '5.97', '74.43']
['1112', '0', '5.97', '76.38']
['1111', '0', '5.97', '78.32']
['1111', '0', '5.97', '80.27']
['1106', '0', '5.97', '82.21']
['1106', '0', '5.97', '84.15']
['1101', '0', '5.97', '86.10']
['1101', '0', '5.97', '88.04']
['1096', '0', '5.97', '89.99']
['1096', '0', '5.97', '91.93']
['1096', '0', '5.97', '93.87']
['1096', '0', '5.97', '95.82']
['1096', '0', '5.97', '97.76']
['1101', '0', '5.97', '99.71']
['1101', '0', '5.97', '101.65']
['1101', '0', '5.97', '103.59']
['1106', '0', '5.97', '105.54']
['1111', '0', '5.97', '107.48']
['1111', '0', '5.97', '109.43']
['1111', '0', '5.97', '111.37']
['1112', '0', '5.97', '113.31']
['1112', '0', '5.97', '115.26']
['1113', '0', '5.97', '117.20']
['1113', '0', '5.97', '119.15']
['1114', '0', '5.97', '121.09']
['1119', '0', '5.97', '123.03']
['1119', '0', '5.97', '124.98']
['1128', '0', '5.97', '126.92']
['1721', '0', '5.97', '128.87']
['1721', '0', '5.97', '130.81']
['1721', '0', '5.97', '132.75']
['1720', '0', '5.97', '134.70']
['1720', '0', '5.97', '136.64']
['1720', '0', '5.97', '138.59']
['1719', '0', '5.97', '140.53']
['1719', '0', '5.97', '142.47']
['1719', '0', '5.97', '144.42']
['250', '0', '5.97', '146.36']
['1719', '0', '5.97', '148.31']
['1719', '0', '7.97', '150.25']
['1719', '0', '7.97', '20.00']
['1078', '0', '7.97', '21.94']
['1074', '0', '7.97', '23.89']
['1074', '0', '7.97', '25.83']
['1074', '0', '7.97', '27.78']
['1079', '0', '7.97', '29.72']
['1080', '0', '7.97', '31.66']
['1085', '0', '7.97', '33.61']
['1094', '0', '7.97', '35.55']
['1551', '0', '7.97', '37.50']
['1546', '0', '7.97', '39.44']
['1542', '0', '7.97', '41.38']
['1537', '0', '7.97', '43.33']
['1533', '0', '7.97', '45.27']
['1533', '0', '7.97', '47.22']
['1533', '0', '7.97', '49.16']
['1533', '0', '7.97', '51.10']
['1537', '0', '7.97', '53.05']
['1537', '0', '7.97', '54.99']
['1538', '0', '7.97', '56.94']
['1547', '0', '7.97', '58.88']
['1128', '0', '7.97', '60.82']
['1124', '0', '7.97', '62.77']
['1119', '0', '7.97', '64.71']
['1114', '0', '7.97', '66.66']
['1114', '0', '7.97', '68.60']
['1113', '0', '7.97', '70.55']
['1113', '0', '7.97', '72.49']
['1112', '0', '7.97', '74.43']
['1112', '0', '7.97', '76.38']
['1111', '0', '7.97', '78.32']
['1111', '0', '7.97', '80.27']
['1106', '0', '7.97', '82.21']
['1106', '0', '7.97', '84.15']
['1101', '0', '7.97', '86.10']
['1101', '0', '7.97', '88.04']
['1101', '0', '7.97', '89.99']
['1096', '0', '7.97', '91.93']
['1096', '0', '7.97', '93.87']
['1096', '0', '7.97', '95.82']
['1096', '0', '7.97', '97.76']
['1101', '0', '7.97', '99.71']
['1101', '0', '7.97', '101.65']
['1101', '0', '7.97', '103.59']
['1106', '0', '7.97', '105.54']
['1111', '0', '7.97', '107.48']
['1111', '0', '7.97', '109.43']
['1116', '0', '7.97', '111.37']
['1116', '0', '7.97', '113.31']
['1113', '0', '7.97', '115.26']
['1113', '0', '7.97', '117.20']
['1113', '0', '7.97', '119.15']
['1114', '0', '7.97', '121.09']
['1119', '0', '7.97', '123.03']
['1119', '0', '7.97', '124.98']
['1129', '0', '7.97', '126.92']
['1722', '0', '7.97', '128.87']
['1721', '0', '7.97', '130.81']
['1721', '0', '7.97', '132.75']
['1721', '0', '7.97', '134.70']
['1720', '0', '7.97', '136.64']
['1720', '0', '7.97', '138.59']
['1720', '0', '7.97', '140.53']
['1719', '0', '7.97', '142.47']
['1719', '0', '7.97', '144.42']
['250', '0', '7.97', '146.36']
['1720', '0', '7.97', '148.31']
['1720', '0', '9.96', '150.25']
['1720', '0', '9.96', '20.00']
['1078', '0', '9.96', '21.94']
['1078', '0', '9.96', '23.89']
['1078', '0', '9.96', '25.83']
['1079', '0', '9.96', '27.78']
['1079', '0', '9.96', '29.72']
['1080', '0', '9.96', '31.66']
['1085', '0', '9.96', '33.61']
['1094', '0', '9.96', '35.55']
['1551', '0', '9.96', '37.50']
['1547', '0', '9.96', '39.44']
['1542', '0', '9.96', '41.38']
['1542', '0', '9.96', '43.33']
['1538', '0', '9.96', '45.27']
['1537', '0', '9.96', '47.22']
['1533', '0', '9.96', '49.16']
['1538', '0', '9.96', '51.10']
['1538', '0', '9.96', '53.05']
['1542', '0', '9.96', '54.99']
['1542', '0', '9.96', '56.94']
['1547', '0', '9.96', '58.88']
['1547', '0', '9.96', '60.82']
['1128', '0', '9.96', '62.77']
['1123', '0', '9.96', '64.71']
['1118', '0', '9.96', '66.66']
['1114', '0', '9.96', '68.60']
['1113', '0', '9.96', '70.55']
['1113', '0', '9.96', '72.49']
['1112', '0', '9.96', '74.43']
['1112', '0', '9.96', '76.38']
['1112', '0', '9.96', '78.32']
['1111', '0', '9.96', '80.27']
['1111', '0', '9.96', '82.21']
['1106', '0', '9.96', '84.15']
['1106', '0', '9.96', '86.10']
['1101', '0', '9.96', '88.04']
['1101', '0', '9.96', '89.99']
['1101', '0', '9.96', '91.93']
['1101', '0', '9.96', '93.87']
['1101', '0', '9.96', '95.82']
['1101', '0', '9.96', '97.76']
['1101', '0', '9.96', '99.71']
['1106', '0', '9.96', '101.65']
['1106', '0', '9.96', '103.59']
['1106', '0', '9.96', '105.54']
['1111', '0', '9.96', '107.48']
['1112', '0', '9.96', '109.43']
['1116', '0', '9.96', '111.37']
['1117', '0', '9.96', '113.31']
['1113', '0', '9.96', '115.26']
['1113', '0', '9.96', '117.20']
['1114', '0', '9.96', '119.15']
['1118', '0', '9.96', '121.09']
['1119', '0', '9.96', '123.03']
['1119', '0', '9.96', '124.98']
['1133', '0', '9.96', '126.92']
['1722', '0', '9.96', '128.87']
['1722', '0', '9.96', '130.81']
['1721', '0', '9.96', '132.75']
['1721', '0', '9.96', '134.70']
['1720', '0', '9.96', '136.64']
['1720', '0', '9.96', '138.59']
