['1106', '6391', '0.00', '20.00']
['1110', '6390', '0.00', '21.94']
['1123', '6175', '0.00', '23.89']
['1139', '5952', '0.00', '25.83']
['1160', '5661', '0.00', '27.78']
['1183', '5378', '0.00', '29.72']
['1210', '5096', '0.00', '31.66']
['1234', '4805', '0.00', '33.61']
['1266', '4518', '0.00', '35.55']
['1304', '4190', '0.00', '37.50']
['1338', '3903', '0.00', '39.44']
['1377', '3647', '0.00', '41.38']
['1421', '3345', '0.00', '43.33']
['1470', '3082', '0.00', '45.27']
['1528', '2849', '0.00', '47.22']
['1589', '2744', '0.00', '49.16']
['1641', '3060', '0.00', '51.10']
['1633', '2979', '0.00', '53.05']
['1605', '2783', '0.00', '54.99']
['1573', '2769', '0.00', '56.94']
['1538', '2855', '0.00', '58.88']
['1509', '2983', '0.00', '60.82']
['1478', '3051', '0.00', '62.77']
['1434', '3062', '0.00', '64.71']
['1416', '3285', '0.00', '66.66']
['1393', '3466', '0.00', '68.60']
['1377', '3586', '0.00', '70.55']
['1361', '3747', '0.00', '72.49']
['1345', '3879', '0.00', '74.43']
['1335', '4019', '0.00', '76.38']
['1320', '4130', '0.00', '78.32']
['1312', '4215', '0.00', '80.27']
['1303', '4318', '0.00', '82.21']
['1301', '4429', '0.00', '84.15']
['1292', '4555', '0.00', '86.10']
['1290', '4663', '0.00', '88.04']
['1286', '4743', '0.00', '89.99']
['1286', '4841', '0.00', '91.93']
['1289', '4856', '0.00', '93.87']
['1284', '4806', '0.00', '95.82']
['1289', '4717', '0.00', '97.76']
['1293', '4623', '0.00', '99.71']
['1297', '4554', '0.00', '101.65']
['1305', '4442', '0.00', '103.59']
['1305', '4332', '0.00', '105.54']
['1312', '4222', '0.00', '107.48']
['1319', '4116', '0.00', '109.43']
['1329', '3998', '0.00', '111.37']
['1339', '3874', '0.00', '113.31']
['1349', '3740', '0.00', '115.26']
['1362', '3661', '0.00', '117.20']
['1384', '3541', '0.00', '119.15']
['1400', '3434', '0.00', '121.09']
['1416', '3279', '0.00', '123.03']
