['5398', '956', '0.00', '10.00']
['5441', '933', '0.00', '11.94']
['5517', '911', '0.00', '13.89']
['5561', '897', '0.00', '15.83']
['5640', '880', '0.00', '17.78']
['5732', '833', '0.00', '19.72']
['5837', '810', '0.00', '21.66']
['5923', '801', '0.00', '23.61']
['5978', '763', '0.00', '25.55']
['5909', '559', '0.00', '27.50']
['5767', '476', '0.00', '29.44']
['5511', '474', '0.00', '31.38']
['5227', '513', '0.00', '33.33']
['4939', '566', '0.00', '35.27']
['4711', '637', '0.00', '37.22']
['4492', '741', '0.00', '39.16']
['4363', '830', '0.00', '41.10']
['4215', '926', '0.00', '43.05']
['4078', '1021', '0.00', '44.99']
['3948', '1126', '0.00', '46.94']
['3846', '1229', '0.00', '48.88']
['3725', '1332', '0.00', '50.82']
['3659', '1401', '0.00', '52.77']
['3574', '1503', '0.00', '54.71']
['3493', '1627', '0.00', '56.66']
['3416', '1734', '0.00', '58.60']
['3356', '1833', '0.00', '60.55']
['3292', '1936', '0.00', '62.49']
['3233', '2035', '0.00', '64.43']
['3190', '2110', '0.00', '66.38']
['3145', '2198', '0.00', '68.32']
['3099', '2284', '0.00', '70.27']
['3062', '2333', '0.00', '72.21']
['3045', '1974', '0.00', '74.15']
['3151', '1109', '0.00', '76.10']
['3200', '1017', '0.00', '78.04']
['3193', '986', '0.00', '79.99']
['3189', '1027', '0.00', '81.93']
['3179', '1116', '0.00', '83.87']
['3155', '1357', '0.00', '85.82']
['3155', '1708', '0.00', '87.76']
['3151', '2194', '0.00', '89.71']
['3151', '2481', '0.00', '91.65']
['3149', '2372', '0.00', '93.59']
['3157', '1926', '0.00', '95.54']
['3153', '1464', '0.00', '97.48']
['3148', '1206', '0.00', '99.43']
['3162', '1081', '0.00', '101.37']
['3182', '1052', '0.00', '103.31']
['3209', '1002', '0.00', '105.26']
['3209', '965', '0.00', '107.20']
['3219', '925', '0.00', '109.15']
['3258', '894', '0.00', '111.09']
['3272', '863', '0.00', '113.03']
['3269', '771', '0.00', '114.98']
['3276', '548', '0.00', '116.92']
['3271', '358', '0.00', '118.87']
['3322', '434', '0.00', '120.81']
['3291', '653', '0.00', '122.75']
['3196', '774', '0.00', '124.70']
['3022', '767', '0.00', '126.64']
['2859', '806', '0.00', '128.59']
['2724', '861', '0.00', '130.53']
['2573', '958', '0.00', '132.47']
['2453', '1084', '0.00', '134.42']
['2348', '1206', '0.00', '136.36']
['2246', '1324', '0.00', '138.31']
['2159', '1408', '0.00', '140.25']
['2072', '1524', '0.00', '142.20']
['2014', '1609', '0.00', '144.14']
['1940', '1739', '0.00', '146.08']
['1876', '1898', '0.00', '148.03']
['1821', '2005', '0.00', '149.97']
['1748', '2106', '1.99', '151.92']
['5362', '972', '1.99', '10.00']
